Farsi,English
رو ,up
من ,from
و ,And
تو ,You
از ,From
اون ,that
اين ,this
يه ,one
با ,With
در ,the door/(informal in)
نه ,No
ما ,what
هم ,too
بود ,Was
کنم ,Let me
باشه,OK
تا ,until the
ها ,what
چي ,That
بايد ,should
خيلي ,very
فکر,Thought
آره,Yeah
یه,one
این,This
براي ,For
خب ,Okay
فقط ,Only
کن ,do
می,May
شما ,You
همه ,All
اگه ,if
داره,Has
دیگه چی؟, what else?
شده ,Been
دارم,I have
کار ,Work
اينجا,here
نيست ,is not
چه,What
پس ,Then
اما ,But
نمي,Not
چرا ,Why
خوب ,Good
کنه ,Tick
کردم,I did
چيزي,Something
کني,Kenny
حالا ,Now.
ولي ,but
الان ,right Now
توي ,You are
هر,Each
اونا ,they
اي ,O
هاي,The
داري ,you have
شد ,Became
يک ,One
اوه ,Oh
منو,Menu
ميشه ,It can be
بهت ,to you
بچه,Child
هست,it is 
بهم,to me 
مثل,Such as
بهش,To him/her
وقتي ,when
دوست,Friend
دست ,Hand
ميکنم,I am
باید ,Must
خیلی ,Very
بده ,Give up
کرد,Did
حرف ,Letter
چی ,What
خونه ,Home
يا,Oh
کنيم ,Contact
بله ,Yes
کرده ,done
سلام ,Hi
کردن ,Make up
خوبه ,Is it good
برای,To
چون,Because
برو,Go
را ,Take it
چيه ,What
اينکه ,That
هيچ ,nothing
اونجا ,there
بعد ,distance
بودم ,I was
كه ,That
انجام ,Done
درست,Right
همين ,this
هستم ,I am
پيدا ,Find
دو,Two
داشته ,Had
ميکني,You are
وقت,time
است,Is
هي,she
بشه ,To
دیگه,other
يکي ,One
بيا ,come
نداره,No.
خودت,Itself
هنوز,yet still
منم ,Me
سر ,Head
ميخوام ,I want
کردي ,you did
نیست ,is not
روز ,Day
ميکنه,Its
بيرون,out
کجا,Where
مورد,Itemized
اینجا,Here
درسته ,it's true
ولی,But
کسي,Someone
ممنون,Thankful
واقعا ,Really
کي,In the
تمام,entire
راه,Way
باش ,Start
پيش ,before
ميدوني ,We know
تنه,People
مرد ,Man
داريم ,We have
شايد ,maybe
چند,How many
خودم ,by my own
نظر,Opinion
چيز ,Something
بوده,Been
کاري ,Work
سال ,Year
کمک,Help
بدم ,Bad
بريم,Let's get
روي ,on
کنی,Kenny
دوباره ,Again
مياد ,They think
چیزی,Something
زندگي,life
نمی,Not
گفتم ,I said
ميخواي ,Wanted
بگو,say
بگم ,Let me
نگاه,the look
اونو ,Ono.
هستي,universe
توی,In the.
گفت ,said
گوش,Listen
اينه,Mirror
صحبت ,Talk
پسر,Boy
قبل,before
آدم ,human
برم ,Bromine
دارن,Darren
اينو ,This
شروع,Beginning
کنيد ,Keep up
هستن ,are
دونم,Ignore
خوام ,I like
ای ,Oh you
هميشه,always
بر ,On
خانم,Lady
قرار,Place
های,The
ام ,I am
حال,Now
بي ,with me
تموم ,end
پول,Money
کنن ,Kenning
شدم,I became
داشتم ,I had
خدا,God
نفر ,People
بار,Bar
ميدونم,I know
بيشتر ,more
ببين,See
آقاي,Mr
باشم ,Be
میشه,It could be
صبر,Patience
درباره,About
همون ,the same
تونم ,I can
خاطر ,Mind
امروز,Today
داری ,You have
یک ,One
شدن ,Become
وجود,Existence
قربان,Sir
شب ,the night
ازش ,To
دختر,Girl
اگر ,If
استفاده,Use
داشت,He had
باشي ,Maybe
ممکنه ,It is possible
خودش ,Herself
مردم,People
بدون ,Without
البته ,Of course
چيکار,Something
وقتی ,when
سه ,Three
مگه,if
کنیم,do
ساعت,the watch
باز ,Open
بزرگ,big
چقدر,How many
حتي,even
بازي ,game
ندارم ,I do not have
بودن,to be
برات,Brat
خواهش,Please
خوش ,good
باهاش,Her
خوبي,are you OK
بدي ,I want
دنبال ,Follow
اسم ,Noun
نکن,Do not
کم ,Low
شو ,what
نبود,Was not
پدر ,Father
بالا,Top
متاسفم ,I'm sorry
آماده,ready
یا ,Or
ازت ,From
زنگ ,the bell
بذار,Let's
میکنم,I do
زنده ,Alive
بابا ,Daddy.
بخاطر ,For
لعنتي ,Damned
عزيزم,honey
ميتونم,I can
اول ,First.
داد ,Gave up
جا,Place
